title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Vermietete 2-Raum-Wohnung in Zwickau! Für Kapitalanleger!,62.000 €,"Pölbitz, 08058 Zwickau
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"59,27 m²",1.046 €/m²,Etagenwohnung,nil,nach Kaufpreiszahlung,1,1,nil,"4,17 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanleger aufgepasst! Vermietete 3-Raum-ETW mit Balkon in der beliebten Südvorstadt,266.400 €,"Südvorstadt, 04275 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"72,48 m²",3.675 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Maisonette 2-Zimmerwohnung mit Loggia in Plagwitz-Lindenau,111.900 €,"Lindenau, 04177 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"38,72 m²",2.890 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanleger aufgepasst! Vermietete 3-Raum-ETW mit Balkon in der beliebten Südvorstadt,237.100 €,"Südvorstadt, 04275 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"64,5 m²",3.676 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,"14.108,-€","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Vermietete 3-Raum-ETW mit Loggia in Plagwitz-Lindenau,229.755 €,"Lindenau, 04177 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"79,5 m²",2.890 €/m²,Etagenwohnung,nil,nil,2,1,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Maisonette 2,5-Zimmerwohnung mit Loggia in Plagwitz-Lindenau",171.290 €,"Lindenau, 04177 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5","59,27 m²",2.890 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanleger aufgepasst! Vermietete 3-Raum-ETW mit Balkon in der beliebten Südvorstadt,262.800 €,"Südvorstadt, 04275 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"71,51 m²",3.675 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3 Zimmer Maisonettewohnung im Dachgeschoss In Großzschocher,128.000 €,"Großzschocher, 04249 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"66,18 m²",1.934 €/m²,Dachgeschoss,nil,nil,nil,nil,nil,"4.462,00€",{'is24qa-vermietet-label': ''}
charmante 3-Raumwohnung mit zwei Bädern und Balkon in Stötteritz,269.000 €,"Arnoldstraße 32,
Stötteritz, 04299 Leipzig",3,"81,73 m²",3.291 €/m²,Etagenwohnung,nil,nil,2,2,nil,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanleger aufgepasst! Vermietete 2-Raum-ETW mit Balkon in der beliebten Südvorstadt,223.300 €,"Südvorstadt, 04275 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"60,75 m²",3.676 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
